ID	Length
TX1-INV1	1125
TX1-INV2	630
TX1-INV3	540
TX1-INV4	960
TX1-INV5	450
TX1-INV6	570
TX1-INV7	570
TX1-INV8	660
TX1-INV9	750
TX1-INV10	990
TX1-INV11	660
TX1-INV12	570
TX1-INV13	510
TX1-INV14	360
TX1-INV15	75
TX1-INV16	525
TX1-INV17	210
TX1-INV18	600
TX1-INV19	510
TX1-INV20	960
TX1-INV21	510
TX1-INV22	825
TX1-INV23	255
TX1-INV24	180
TX1-INV25	705
TX2-INV1	630
TX2-INV2	735
TX2-INV3	450
TX2-INV4	630
TX2-INV5	780
TX2-INV6	1050
TX2-INV7	630
TX2-INV8	75
TX2-INV9	705
TX2-INV10	210
TX2-INV11	1080
TX2-INV12	300
TX2-INV13	396
TX2-INV14	1305
TX2-INV15	540
TX2-INV16	1005
TX2-INV17	60
TX2-INV18	780
TX2-INV19	165
TX2-INV20	900
TX2-INV21	270
TX2-INV22	1050
TX2-INV23	465
TX2-INV24	870
TX3-INV1	945
TX3-INV2	1140
TX3-INV3	900
TX3-INV4	1020
TX3-INV5	345
TX3-INV6	915
TX3-INV7	1110
TX3-INV8	720
TX3-INV9	975
TX3-INV10	600
TX3-INV11	810
TX3-INV12	435
TX3-INV13	645
TX3-INV14	330
TX3-INV15	495
TX3-INV16	90
TX3-INV17	555
TX3-INV18	195
TX3-INV19	960
TX3-INV20	1140
TX3-INV21	795
TX3-INV22	1110
TX3-INV23	615
TX3-INV24	930
TX4-INV1	1110
TX4-INV2	990
TX4-INV3	945
TX4-INV4	900
TX4-INV5	1185
TX4-INV6	765
TX4-INV7	1125
TX4-INV8	570
TX4-INV9	945
TX4-INV10	375
TX4-INV11	765
TX4-INV12	450
TX4-INV13	840
TX4-INV14	600
TX4-INV15	1005
TX4-INV16	780
TX4-INV17	555
TX4-INV18	885
TX4-INV19	420
TX4-INV20	600
TX4-INV21	255
TX4-INV22	510
TX4-INV23	105
TX4-INV24	585
TX4-INV25	270
TX4-INV26	735
TX4-INV27	435
TX5-INV1	480
TX5-INV2	366
TX5-INV3	255
TX5-INV4	114
TX5-INV5	135
TX5-INV6	210
TX5-INV7	255
TX5-INV8	360
TX5-INV9	480
TX5-INV10	570
TX5-INV11	684
TX5-INV12	495
TX5-INV13	330
TX5-INV14	240
TX5-INV15	120
TX5-INV16	120
TX5-INV17	240
TX5-INV18	585
TX5-INV19	405
TX5-INV20	765
TX5-INV21	540
TX5-INV22	870
TX5-INV23	720
TX5-INV24	1050
TX5-INV25	894
TX5-INV26	1110
TX6-INV1	1125
TX6-INV2	960
TX6-INV3	945
TX6-INV4	810
TX6-INV5	780
TX6-INV6	540
TX6-INV7	600
TX6-INV8	975
TX6-INV9	525
TX6-INV10	990
TX6-INV11	540
TX6-INV12	795
TX6-INV13	240
TX6-INV14	90
TX6-INV15	135
TX6-INV16	240
TX6-INV17	315
TX6-INV18	420
TX6-INV19	540
TX6-INV20	630
TX6-INV21	330
TX6-INV22	510
TX6-INV23	660
TX6-INV24	825
TX6-INV25	990
TX6-INV26	1095
